dataset_name,subject_id,administration_id,age,n_trials,n_trials_rt,rt_var,log_rt_var,short_window_acc_var,long_window_acc_var,short_window_accuracy,long_window_accuracy,short_window_prop_data,long_window_prop_data,short_window_target,long_window_target,short_window_distractor,long_window_distractor,short_window_elogit,long_window_elogit,rt,log_rt,prod,comp,log_age
adams_marchman_2018,385,445,35,14,3,230.9401076758503,0.2686775974790376,0.2836354993567828,0.15113569698844173,0.7930725976921629,0.8401848743222646,0.941468253968254,0.8688775510204082,54.642857142857146,103.35714285714286,13.142857142857142,18.285714285714285,2.376707186992771,2.675648763880315,808.3333333333334,6.669833774102274,,,3.5553480614894135
adams_marchman_2018,386,446,15,32,8,984.2509842514763,0.6224219343069923,0.43018349104056136,0.39664374768611704,0.667617853889727,0.629653672265297,0.9622395833333334,0.953125,46,78.75,23.28125,47.0625,1.4631428206651675,0.8658880714692104,1337.5,7.0144803672491935,,0.15404040404040403,2.70805020110221
adams_marchman_2018,386,447,16,32,13,356.85817408356564,0.31490937513170236,0.3604055541811482,0.3165877447215557,0.6275993231135631,0.654819744897047,0.9344618055555556,0.9159564393939393,42.5625,78.875,24.71875,42.03125,1.1072454994279564,1.0117598424233176,1259.6153846153845,7.096138666803336,,0.15404040404040403,2.772588722239781
adams_marchman_2018,386,448,19,32,8,943.4927511266695,0.5458203232704554,0.3741269541761791,0.3418419261553583,0.6885515373125705,0.6511925416476244,0.9635416666666666,0.9398674242424242,48,81.46875,21.375,42.59375,1.6997355923017212,1.4146031877838834,1612.5,7.2510988949144055,,0.3611111111111111,2.9444389791664403
adams_marchman_2018,386,449,19,32,13,294.6504883016661,0.2901029537616276,0.2738749981979914,0.32155412044638315,0.7717706437491302,0.7121094150570132,0.9318576388888888,0.9327651515151515,52.46875,88.46875,14.625,34.65625,2.271594442539199,2.150223991701725,873.0769230769231,6.729380244731615,,0.3611111111111111,2.9444389791664403
adams_marchman_2018,386,450,23,18,12,314.32798687570494,0.28542851462166974,0.27580574861791574,0.29000230314512243,0.5728667308249612,0.6114758142298604,0.9166666666666666,0.8765873015873016,38.333333333333336,76,27.666666666666668,46.72222222222222,0.7451283262350923,0.9879244249911514,1147.9166666666667,7.009451418287153,0.49117647058823527,,3.1354942159291497
adams_marchman_2018,386,451,23,6,3,208.16659994661327,0.3854787526223546,0.3962065532027087,0.33438708580532345,0.6000082795164762,0.6497215260373156,0.9328703703703703,0.8345238095238096,40.833333333333336,77.66666666666667,26.333333333333332,39.166666666666664,0.9138923602345458,1.801994879874878,608.3333333333334,6.364833915398763,0.49117647058823527,,3.1354942159291497
adams_marchman_2018,386,452,25,16,5,520.8166663999915,0.4846644054307514,0.3308005321211241,0.28248518111984444,0.7994907745706978,0.778663765918056,0.9835069444444444,0.8915178571428571,56.875,98.375,13.9375,26.4375,2.7288833907681593,2.5464547066073298,850,6.634307519803469,0.5397058823529411,,3.2188758248682006
adams_marchman_2018,386,453,25,12,6,863.5681791265818,0.556158114859722,0.3129637101331567,0.2759688650101833,0.7572694606089629,0.7868870062553249,0.9004629629629629,0.8660714285714286,49.666666666666664,97.41666666666667,15.166666666666666,23.833333333333332,2.1150596729975613,2.7457604658995045,1225,6.959364907897614,0.5397058823529411,,3.2188758248682006
adams_marchman_2018,386,454,36,12,6,161.5678392090043,0.21049016752793312,0.16287073999065615,0.16809679412323064,0.7868799939695462,0.8929609962339219,0.9479166666666666,0.9601190476190476,53.916666666666664,120.25,14.333333333333334,14.166666666666666,1.9703730029499031,3.3501979542167795,754.1666666666666,6.606934148157017,,,3.58351893845611
adams_marchman_2018,387,455,16,28,12,1014.3571632050787,0.5845283070215214,0.4080795869217789,0.341612094229882,0.6515213941799504,0.6949712172671654,0.9688697318007663,0.9302507836990596,45.6896551724138,85.3448275862069,24.06896551724138,37.44827586206897,1.4268059971595979,1.892821286398108,1737.5,7.304019792384855,,0.45454545454545453,2.772588722239781
adams_marchman_2018,387,456,16,26,12,743.3384715816431,0.4001191906484561,0.3707765128590005,0.31461744747360515,0.5653612583133326,0.5817232688691434,0.934156378600823,0.8742985409652076,37.51851851851852,69.55555555555556,29.74074074074074,45.851851851851855,0.5136010550819203,0.7581505283258202,1677.0833333333333,7.346471571435251,,0.45454545454545453,2.772588722239781
adams_marchman_2018,387,457,18,22,8,202.85352738226806,0.19660945806567434,0.3116928164693386,0.2980372167339577,0.7242630234713147,0.6603610799290067,0.9272222222222222,0.8736363636363637,49,77.96,17.76,37.36,1.9498414574431524,1.228228352597164,996.875,6.887318157838874,,0.7449494949494949,2.8903717578961645
adams_marchman_2018,387,458,19,25,7,601.2140495142586,0.4419922019679485,0.3335434277256253,0.25792717962330447,0.681481379563858,0.7276480559010083,0.9401709401709402,0.8892773892773893,46.65384615384615,86.15384615384616,21.03846153846154,31.23076923076923,1.5813102457914727,1.9631451471870491,1175,6.9761309931223865,,0.7449494949494949,2.9444389791664403
adams_marchman_2018,387,459,21,17,7,694.2364767961171,0.515013013902443,0.33761796772299124,0.27783195373456016,0.6963643866158049,0.7415994532648027,0.8913398692810457,0.8697478991596639,45.588235294117645,91.41176470588235,18.58823529411765,30.352941176470587,1.6692371306827174,1.971903629027904,1146.4285714285713,6.91967162071809,0.6573529411764706,,3.044522437723423
adams_marchman_2018,387,460,22,11,8,862.9204461759911,0.6861095081652625,0.39252667242231293,0.17533149968192951,0.6810911932180589,0.9019311950919907,0.9340277777777778,0.861904761904762,46.916666666666664,105.5,20.333333333333332,15.166666666666666,1.5010106037765782,3.804686442905531,1315.625,6.983845061415043,0.6573529411764706,,3.091042453358316
adams_marchman_2018,387,461,24,15,8,949.8825115319713,0.6164764100652367,0.33304203110814123,0.24561170334357788,0.6158948932356927,0.6917762934681224,0.8984375,0.8352678571428571,40.5,82.1875,24.1875,34.75,0.5983824615860548,1.4215588511900445,1381.25,7.051789408043261,0.8382352941176471,,3.1780538303479458
adams_marchman_2018,387,462,24,5,2,141.4213562373095,0.20342194425645388,0.28376491459028563,0.27988689813240464,0.666682624277101,0.5543935680521044,0.8310185185185185,0.7559523809523809,40.5,61,19.333333333333332,44.833333333333336,1.6211756779870217,0.9175647198702841,700,6.540770691442036,0.8382352941176471,,3.1780538303479458
adams_marchman_2018,387,463,36,14,5,694.2621983083912,0.506334368499196,0.3011585963950187,0.23271913614631368,0.7210990502035278,0.7462792253853564,0.9285714285714286,0.8806122448979592,47.92857142857143,92.64285714285714,18.928571428571427,30.642857142857142,1.7400850495376303,2.140423256243896,1295,7.060627044776985,,,3.58351893845611
adams_marchman_2018,388,464,15,31,12,326.9753488993915,0.30605438511881844,0.30112728503671593,0.2487362721633408,0.7149112056224888,0.8090693552569809,0.942652329749104,0.9403714565004888,49.45161290322581,100.83870967741936,18.419354838709676,23.29032258064516,2.026160054225574,2.490819135055909,1129.1666666666667,6.987970834899737,,0.6186868686868687,2.70805020110221
adams_marchman_2018,388,465,15,29,12,816.0412339180817,0.5421809920369786,0.3830711843140718,0.33240723837787095,0.654274542200295,0.7279559831360584,0.9513888888888888,0.9151515151515152,45.03333333333333,87.9,23.466666666666665,32.9,1.2113126245773211,1.7967391051881936,1381.25,7.089596855060824,,0.6186868686868687,2.70805020110221
adams_marchman_2018,388,466,18,30,12,203.41543921023035,0.24363017754034524,0.19856581036234036,0.27807905737528776,0.7672073372488812,0.7692183114508763,0.9516129032258065,0.9254643206256109,52.96774193548387,94.35483870967742,15.548387096774194,27.806451612903224,2.0720978001185846,2.5852044188105188,893.75,6.769480380397988,,0.6767676767676768,2.8903717578961645
adams_marchman_2018,388,467,18,32,17,689.8389358052655,0.40653418948183073,0.24135889698801052,0.2801276199342061,0.7436605971771523,0.7138739736110302,0.9361979166666666,0.9050662878787878,50.375,85.875,17.03125,33.59375,1.6569893194413037,1.6669512152317498,995.5882352941177,6.79387879801598,,0.6767676767676768,2.8903717578961645
adams_marchman_2018,388,468,21,18,8,259.03323008006964,0.25465312903261844,0.32155848585042823,0.3411007918065721,0.6874698846823518,0.7421043122045531,0.9645061728395061,0.8623015873015873,47.888888888888886,89.05555555555556,21.555555555555557,31.666666666666668,1.4389914541178508,1.8063117919100928,918.75,6.792642017572319,0.5588235294117647,,3.044522437723423
adams_marchman_2018,388,469,21,13,4,1119.6167499044782,0.6265156545113757,0.4089378078549411,0.38437072203786427,0.6722689075630253,0.7072337608452578,0.9444444444444444,0.8688775510204082,47.5,84.78571428571429,20.5,36.857142857142854,1.5907144927020824,1.3306428041547247,1512.5,7.154773207224323,0.5588235294117647,,3.044522437723423
